score_OVERALL UNIVERSITY RATING,score_Job Prospects,score_Course and Lecturers,score_Uni Facilities,score_Student Support,score_Do you think your time at university this year has been value for money?,score_Students' Union,score_Accommodation,score_Local life,score_Societies and Sports,name,date,degree,reviews,reviews_lem,reviews_lem_short,University
1.0,3.0,1.0,2.0,1.0,,,,4.0,,AJ.,28 Jan 19,," Edinburgh is more focused on preserving its dwindling reputation and making money than providing the tools for students to succeed. If you enjoy partying and having no money, Edinburgh is great. Almost everyone i know works full time as well to meet living costs. If you are either over 25 or not from private education you will be ostracised. Also, a note on mature students. The demographic is 17 - 21. If you fall outside of that,good luck. If you want to work in finance then its great. There are employement open days over the semester 12 I haven't used any of the facilities. But there are a lot of them. Horrible. I have only heard from my PT once, during compulsory welcome week meeting. Feedback on essay's are obscure and not helpful. There is a writing center to help you write more academically, but hou book a slot with a specific problem to be addressed. Most queries have a cover answer which your name is pasted on, so there is no genuine connection with anyone. If you think you will need support, Edinburgh is not for you. I don't use it. It seems focused on the wrong things, such as community and well being. Edinburgh is very expensive. What ever you enjoy doing the city can provide. Just make sure you have plenty money.",edinburgh focused preserve dwindle reputation make money provide tool student succeed enjoy party money edinburgh great almost everyone know work full time well meet living cost either private education ostracise also note mature student demographic fall good luck want work finance great employement open day semester n't use facility lot horrible hear pt compulsory welcome week meeting feedback essay obscure helpful write center help write academically hou book slot specific problem address query cover answer name paste genuine connection anyone think need support edinburgh n't use seem focus wrong thing community well edinburgh expensive ever enjoy city provide make sure plenty money,edinburgh focused reputation money tool student money edinburgh great almost everyone full time living cost private education note mature student demographic good luck finance great employement open day semester facility lot horrible pt compulsory welcome week meeting feedback essay obscure helpful center book slot specific problem query cover answer name genuine connection anyone support edinburgh wrong thing community edinburgh expensive city sure plenty money,edinburgh
4.0,5.0,5.0,5.0,5.0,,5.0,,3.0,5.0,Ziyi hua,18 Dec 18,Mathematics BSc (Hons), Very good No know Great Not peaceful Almost good,good know great peaceful almost good,good great peaceful good,edinburgh
4.0,5.0,4.0,4.0,1.0,,1.0,,5.0,5.0,Nia,18 Dec 18,Philosophy and Economics MA (Hons)," Been fun Careers fairs, comprehensive careers department Gym is great and lib also good Lack of student counselling and no support from personal tutor Lack of facilities and is expensive Edinburgh is great Lots of them",fun career fair comprehensive career department gym great lib also good lack student counselling support personal tutor lack facility expensive edinburgh great lot,fun career fair comprehensive career department gym great lib good lack student counselling support personal tutor lack facility expensive edinburgh great lot,edinburgh
4.0,3.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,isaac,07 Dec 18,History and Classics MA (Hons)," Had a great time Always reliable Help is readily available Really helpful Fraser court, its decent, nothing to talk about Great fun, comfortable Inclusive and fun, bit intense sometimes",great time always reliable help readily available really helpful fraser court decent nothing talk great fun comfortable inclusive fun bit intense sometimes,great time always reliable help available helpful fraser court decent nothing great fun comfortable inclusive fun bit intense,edinburgh
4.0,4.0,4.0,5.0,3.0,,4.0,,5.0,5.0,Taliah,07 Dec 18,," Teaching is mixed. Extra-curricular is good - theatre year abroad admin was poor Job fairs, my degree kind does the work already Theatre spaces are great It is fine. I am trans and they are not equipped to handle my issues outside of extensions People are engaged, thing generally happen. SU building are good I love Edinburgh - love the fringe festival I think they are very good",teaching mixed extra-curricular good theatre year abroad admin poor job fair degree kind work already theatre space great fine trans equip handle issue extension people engage thing generally happen su building good love edinburgh love fringe festival think good,teaching mixed extra-curricular good theatre year admin poor job fair degree kind work theatre space great fine trans issue extension people thing su building good edinburgh fringe festival good,edinburgh
5.0,,4.0,3.0,3.0,,,3.0,5.0,5.0,K,07 Dec 18,, Exciting Hit and miss Not bothered. It is liveable and that is all that matters,excite hit bother liveable matter,hit liveable matter,edinburgh
3.0,3.0,4.0,3.0,4.0,,3.0,,5.0,4.0,Megan,07 Dec 18,German MA (Hons)," Mixed Definite disparity between what is offered to the Kings students and what is offered to humanities Not enough funding for student mental health support, should be more contact with personal tutors",mixed definite disparity offer king student offer humanity enough funding student mental health support contact personal tutor,mixed definite disparity king student humanity funding student mental health support contact personal tutor,edinburgh
4.0,3.0,4.0,5.0,3.0,,3.0,,5.0,5.0,Kalina,07 Dec 18,Chinese and History MA (Hons)," Besides academic stress with everyone thinking their course must be a priority, everything is good There are career fairs but not much time to think about the future when caught up in work Sometimes there aren't enough but quality is really good Sometimes helpful but often hit-or-miss situation - mental health support not enough Union facilities are good, not really in tune with representation Besides the weather, it is perfect because food/ cafes are good and it is integrated into languages and beautiful Lots of options, can find something to suit everyone, very active",academic stress everyone think course priority everything good career fair much time think future catch work sometimes n't enough quality really good sometimes helpful often hit-or-miss situation mental health support enough union facility good really tune representation weather perfect food/ cafe good integrate language beautiful lot option find something suit everyone active,academic stress everyone course priority everything good career fair much time future work quality good helpful hit-or-miss situation mental health support union facility good tune representation weather perfect food/ cafe good language beautiful lot option something everyone active,edinburgh
4.0,4.0,3.0,4.0,4.0,,4.0,,5.0,5.0,Jennie,07 Dec 18,," Good, less support than I though there would be Good courses advisor for school of maths Not enough for mental health Organised Beautiful city and good student nightlife Good variety",good less support good course advisor school math enough mental health organise beautiful city good student nightlife good variety,good support good course school math mental health beautiful city good student good variety,edinburgh
3.0,4.0,3.0,4.0,2.0,,3.0,,4.0,3.0,Givlin,07 Dec 18,," Valuable fun subject and year Get lots of emails about opportunities and job fairs Very good gym, library could be bigger Very much depends on the school and also PT Nice size city, not too big Seem fairly accessible but not personally that involved in them",valuable fun subject year get lot email opportunity job fair good gym library big much depends school also pt nice size city big seem fairly accessible personally involve,valuable fun subject year get lot email opportunity job fair good gym library big much depends school pt nice size city big seem accessible,edinburgh
4.0,5.0,4.0,4.0,4.0,,4.0,,5.0,3.0,Izzy,07 Dec 18,Ecological and Environmental Sciences BSc (Hons), Really enjoyed it but wish some things were more included in price and some lectures were better Careers service is very helpful Was good but a lot of study spaces taken away at Kings and the shuttle is annoying Helpful but sometimes conflicting info Not strong opinion Love Edinburgh Wish there was an auditioned bond,really enjoy wish thing included price lecture good career service helpful good lot study space take away king shuttle annoy helpful sometimes conflict info strong opinion love edinburgh wish auditioned bond,wish thing included price lecture good career service helpful good lot study space king shuttle helpful info strong opinion love edinburgh wish auditioned bond,edinburgh
3.0,5.0,3.0,4.0,3.0,,5.0,5.0,5.0,3.0,Elsie,07 Dec 18,Sociology and Politics MA (Hons)," Accommodation is nice and some tutorials are fab. Disappointing larger lecture Great Not clear, but fine :) Kincaid's Court Inaccessible? Appear better than they are",accommodation nice tutorial fab disappointing large lecture great clear fine kincaid court inaccessible appear good,accommodation nice tutorial fab disappointing large lecture great clear fine kincaid court inaccessible good,edinburgh
3.0,4.0,3.0,4.0,3.0,,5.0,,5.0,4.0,Josie,07 Dec 18,Sustainable Development MA (Hons)," Generally quite good Careers department is available but I have not used it. More careers events would be fun Safe, fun, lots going on",generally quite good career department available use career event fun safe fun lot go,good career department available career event fun safe fun lot,edinburgh
3.0,3.0,3.0,5.0,4.0,,3.0,,5.0,4.0,Lochlann,07 Dec 18,," Pre-honours was basic, to the point of being rather patronising at times. 3rd year is drastic improvement I am a philosophy student so it is hard to find Everything that one could ever need Considering it is a massive institution, it seems abundant I do not keep informed about it, but they seem active Edinburgh is a lethal city I am not in any, but there is a huge variety",pre-honours basic point rather patronise time year drastic improvement philosophy student hard find everything ever need consider massive institution seem abundant keep informed seem active edinburgh lethal city huge variety,pre-honours basic point time year drastic improvement philosophy student hard everything massive institution abundant informed active edinburgh lethal city huge variety,edinburgh
4.0,4.0,3.0,4.0,1.0,,4.0,,5.0,4.0,Tara,07 Dec 18,German and Linguistics MA (Hons)," Good, because I've embraced a lot of new things Good uni should lead to good opportunities Sports and academic facilities great Personal tutors don't offer any advice when needed Great facilities, loads of events Edinburgh is so lively, but also not so big that it's overwhelming Getting involved in as much as possible is great",good 've embrace lot new thing good uni lead good opportunity sport academic facility great personal tutor n't offer advice need great facility load event edinburgh lively also big 's overwhelming get involve much possible great,good lot new thing good uni good opportunity sport academic facility great personal tutor advice great facility load event edinburgh big overwhelming much possible great,edinburgh
5.0,3.0,5.0,5.0,4.0,,,,5.0,4.0,Rosie,07 Dec 18,Social Anthropology MA (Hons)," Great course, helpful staff, engaging Career fair was OK if you were interested in something offered Tutor v helpful Don't like it that much LOVE Edinburgh",great course helpful staff engage career fair ok interested something offer tutor helpful n't like much love edinburgh,great course helpful staff career fair ok interested something tutor helpful much love edinburgh,edinburgh
4.0,3.0,4.0,5.0,4.0,,4.0,4.0,5.0,5.0,Olivia,07 Dec 18,French and Russian Studies MA (Hons)," I have only been at uni for 6 weeks, but I like the independence though I am struggling to manage my time. There are loads of talks, fairs etc, and online resources. All the uni buildings are generally well-equipped. Also the gym is very impressive. I haven't made use of it yet, but I know where I would go if I needed. Bit expensive drinks and food, but varied and fun-looking events I love my room (Pollock Halls), but I don't know anyone on my corridor - very unfriendly and quiet I love Edinburgh, there is so much going on and it's easy to get to anything. There is a very wide range and membership prices are good. Most events are good fun.",uni week like independence struggle manage time load talk fair etc online resource uni building generally well-equipped also gym impressive n't make use yet know go need bit expensive drink food vary fun-looking event love room pollock hall n't know anyone corridor unfriendly quiet love edinburgh much go 's easy get anything wide range membership price good event good fun,uni week independence time load talk fair online resource uni building well-equipped gym impressive use bit expensive drink food fun-looking event room pollock hall anyone corridor quiet edinburgh much easy anything wide range membership price good event good fun,edinburgh
4.0,4.0,4.0,3.0,4.0,,2.0,,5.0,2.0,Rufil D,07 Dec 18,Social Anthropology MA (Hons), Love my course. Love the city. I have made friends for life,love course love city make friend life,course city friend life,edinburgh
5.0,4.0,4.0,3.0,4.0,,4.0,3.0,5.0,4.0,Beth,07 Dec 18,Philosophy and Politics MA (Hons), 10 All very far away Beaverbank - very far away,far away beaverbank far away,beaverbank,edinburgh
3.0,3.0,4.0,5.0,2.0,,4.0,,5.0,4.0,Katie,07 Dec 18,English Literature MA (Hons)," Social aspects have been great. I'm really interested in what I'm learning, but EL1 don't provide clear instructions, which is stressful There are opportunities, but if falls to us find and take them. Nothing course-specific Excellent - all I could want and cheap EL1 hasn't given clear instructions or supported the transition in teaching styles from school to uni Varied and engaging",social aspect great 'm really interested 'm learn el1 n't provide clear instruction stressful opportunity fall find take nothing course-specific excellent want cheap el1 n't give clear instruction support transition teach style school uni varied engage,social aspect great interested el1 clear instruction stressful opportunity fall course-specific excellent el1 clear instruction transition style school varied,edinburgh
4.0,3.0,3.0,5.0,4.0,,2.0,,5.0,5.0,Camilla,07 Dec 18,Economics MA (Hons), Uni provides a lot of great opportunities to be involved More of an obstacle than ever helpful,uni provide lot great opportunity involve obstacle ever helpful,uni lot great opportunity obstacle helpful,edinburgh
5.0,2.0,4.0,4.0,3.0,,5.0,,5.0,4.0,Lucy,07 Dec 18,Philosophy and English Language MA (Hons)," Really fun Great food, good clubs, nice people, beautiful city Great range",really fun great food good club nice people beautiful city great range,fun great food good club nice people beautiful city great range,edinburgh
4.0,3.0,4.0,3.0,4.0,,5.0,3.0,4.0,4.0,Odette,07 Dec 18,English Language and Literature MA (Hons)," Need to actively seek them out. There are programmes, but personal tutors should advise more. I've met mine like once. Good location, spoilt facilities that took ages to repair Unsure, haven't really needed it, but appreciate that there are inclusive places, e.g. LGBT, Mental Health Brilliant. V inclusive and progressive. Places close so early Good variety",need actively seek programme personal tutor advise 've meet mine good location spoilt facility take age repair unsure n't really need appreciate inclusive place e.g lgbt mental health brilliant v inclusive progressive place close early good variety,need programme personal tutor mine good location spoilt facility age unsure inclusive place e.g lgbt mental health brilliant v inclusive progressive place early good variety,edinburgh
4.0,2.0,3.0,3.0,3.0,,4.0,,5.0,3.0,Anna S,07 Dec 18,, I love the people I have met and am having a really fun time and live in the city,love people meet really fun time live city,people fun time live city,edinburgh
4.0,4.0,4.0,4.0,3.0,,4.0,,5.0,5.0,Dee,07 Dec 18,, Generally been good,generally good,good,edinburgh
4.0,3.0,4.0,4.0,3.0,,3.0,,5.0,4.0,Hima C,07 Dec 18,," Need more help for minority groups, and people coming from different economic backgrounds The computer software is difficult to use City is beautiful",need help minority group people come different economic background computer software difficult use city beautiful,help minority group people different economic computer software difficult city beautiful,edinburgh
4.0,4.0,4.0,5.0,5.0,,4.0,4.0,5.0,5.0,Reem,07 Dec 18,," Very supportive and interesting offers to students I love Edinburgh. Definitely better than big cities Very active, and varied",supportive interesting offer student love edinburgh definitely well big city active vary,supportive interesting offer student edinburgh big city active,edinburgh
4.0,4.0,3.0,3.0,2.0,,,,4.0,3.0,Orson,07 Dec 18,Politics MA (Hons)," Good course, lots of opportunities - high volume of students. The uni spends lots of money on a variety of projects (EFI) - could be better Great student development office in my school Great facilities - gym is expensive Feedback is slow and unsubstantiated. Counselling service is low quality. My student support officer is v helpful. Beautiful, cultural and great international transport - v expensive though! Sports clubs - broad choice, cliquey and expensive",good course lot opportunity high volume student uni spend lot money variety project efi well great student development office school great facility gym expensive feedback slow unsubstantiated counselling service low quality student support officer v helpful beautiful cultural great international transport v expensive sport broad choice cliquey expensive,good course lot opportunity high volume student uni lot money variety project efi great student development office school great facility gym expensive feedback slow unsubstantiated counselling service low quality student support officer v helpful beautiful cultural great international transport v expensive sport broad choice cliquey expensive,edinburgh
5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,Rachel,07 Dec 18,, Very friendly and helpful student support,friendly helpful student support,friendly helpful student support,edinburgh
4.0,5.0,4.0,4.0,4.0,,2.0,,3.0,4.0,Kate,07 Dec 18,Mathematics BSc (Hons), Need more library space more shuttle buses Should be cheaper as it is for STUDENTS and should have better club nights/ more,need library space shuttle bus cheap student good club nights/,library space shuttle bus cheap student good club,edinburgh
5.0,,4.0,5.0,4.0,,4.0,5.0,5.0,,Laura D,07 Dec 18,Cognitive Science BSc (Hons)," 3 Do not know much about it Everything is very close together, lots of cool and interesting places",know much everything close together lot cool interesting place,everything close lot cool interesting place,edinburgh
2.0,2.0,4.0,3.0,2.0,,4.0,,5.0,5.0,J,07 Dec 18,Geography MA (Hons)," Lack of support in 1st year (although I lived in uni halls) led me to drop out of my course after Summer exams. Now I returned to uni after 16 months, but still uncertain whether I really want it. Hard to fit work experience into life, because of enormous workload (even if I wanted to) Alright, but libraries are way too warm and stuffy - gives me a headache, so I can't study there Not enough counselling, student support at my school, not very helpful Very forward thinking when it comes to inclusivity and empowerment Great museums, events, pubs Great range and great events. All socs are good standard.",lack support year live uni hall lead drop course summer exam return uni month still uncertain really want hard fit work experience life enormous workload even want alright library way warm stuffy give headache n't study enough counselling student support school helpful forward think come inclusivity empowerment great museum event pubs great range great event socs good standard,lack support year uni hall course summer exam month uncertain hard work experience life enormous workload alright library way warm stuffy headache counselling student support school helpful inclusivity empowerment great museum event great range great event socs good standard,edinburgh
4.0,4.0,4.0,4.0,2.0,,5.0,,5.0,3.0,Keely,07 Dec 18,Mathematics and Statistics BSc (Hons)," Need more library space 
More shuttle buses Need more mental health support Some are not inclusive",need library space shuttle bus need mental health support inclusive,library space shuttle bus mental health support inclusive,edinburgh
4.0,5.0,4.0,5.0,5.0,,5.0,,5.0,4.0,Molly,07 Dec 18,, There are plenty of activities organised for post-grads which is great 8 Great library resources,plenty activity organise post-grads great great library resource,plenty activity post-grads great great library resource,edinburgh
4.0,5.0,4.0,4.0,4.0,,5.0,,5.0,5.0,Emily,07 Dec 18,Mathematics and Statistics BSc (Hons)," Definitely hard work, but I'm having a great time! They have a good job search website and I had a good Summer internship here They're definitely improving. Good study spaces Tutors are nice most of the time, but I know people have issues getting counselling Teviot and other buildings are well-run Edinburgh is amazing They host lots of fun events and it's easy to get involved",definitely hard work 'm great time good job search website good summer internship 're definitely improve good study space tutor nice time know people issue get counsel teviot building well-run edinburgh amaze host lot fun event 's easy get involved,hard work great time good job search website good summer internship good study space tutor nice time people issue teviot building well-run edinburgh lot fun event easy involved,edinburgh
4.0,2.0,3.0,4.0,1.0,,3.0,,5.0,5.0,James S,07 Dec 18,Computer Science BSc (Hons)," Great extra-curricular stuff 
Bedlam is nice, give them money I dont want a computer science job Fine Good Very good, give bedlam more money",great extra-curricular stuff bedlam nice give money dont want computer science job fine good good give bedlam money,great extra-curricular stuff bedlam nice money computer science job fine good good bedlam money,edinburgh
5.0,4.0,4.0,5.0,4.0,,4.0,4.0,5.0,4.0,Anna,07 Dec 18,Italian and Classics MA (Hons)," Lots of fun but lots of work more than expected Year abroad? Very good My tutor is lovely Does the job Grim but good people
Turner house, pollock lovely city Wine soc is great",lot fun lot work expect year abroad good tutor lovely job grim good people turner house pollock lovely city wine soc great,lot fun lot work year good tutor job grim good people turner house pollock city wine soc great,edinburgh
4.0,3.0,3.0,4.0,4.0,,4.0,,5.0,4.0,Ingrid,07 Dec 18,," It has been really good and intense at the same time. However, I do absolutely not regret my choice! Do not know a lot about this I'm quite pleased with this, but I wish there were more places to eat lunch at campus, as they are always crowded. Tutors respond fast and are really helpful and friendly Edinburgh is a great city to live in and I love the atmosphere A lot of options and friendly environment",really good intense time however absolutely regret choice know lot 'm quite pleased wish place eat lunch campus always crowd tutor respond fast really helpful friendly edinburgh great city live love atmosphere lot option friendly environment,good intense time choice lot pleased place lunch campus tutor fast helpful friendly edinburgh great city atmosphere lot option friendly environment,edinburgh
4.0,3.0,3.0,4.0,2.0,,3.0,,5.0,5.0,Hannah,07 Dec 18,," Good friends, I enjoyed halls but the mental health services are very poor. I had a breakdown and little was done. Counselling - Very poor
Academic - Good, love my tutors Amazing Bedlam, EU Soc",good friend enjoy hall mental health service poor breakdown little do counsel poor academic good love tutor amazing bedlam eu soc,good friend hall mental health service poor breakdown little poor academic good tutor amazing bedlam eu soc,edinburgh
5.0,5.0,4.0,4.0,5.0,,5.0,4.0,5.0,5.0,Katie,07 Dec 18,Cognitive Science (Humanities) MA (Hons)," My classes are interesting yet not as stressful as I was expecting, it feels like I am really learning for the sake of learning rather than just to pass tests The careers centre and go abroad fair etc. show all the opportunities you actually have Facilities are nice; they really make good modern use out of very old buildings Incredible support between the Advice place and avilable counselling and GO and nightline. There is lots of spaces to sit and relax or study and places you can go to for help when you need it The accommodation is nice and the cafeteria has good catered food but the WiFi disconnects a lot. Edinburgh is stunning, every day and feels incredibly safe even at night s Go to the clubs and societies fair during freshers; you'll see the opportunities are endless and you can make good friends",class interest yet stressful expect feel really learn sake learn rather pass test career centre go abroad fair etc show opportunity actually facility nice really make good modern use old building incredible support advice place avilable counselling go nightline lot space sit relax study place go help need accommodation nice cafeteria good cater food wifi disconnect lot edinburgh stunning day feel incredibly safe even night go club society fair fresher see opportunity endless make good friend,class stressful sake test career centre fair etc opportunity facility nice good modern use old building incredible support advice place avilable counselling go lot space place help accommodation nice cafeteria good food wifi lot edinburgh stunning day feel safe night go club society fresher opportunity endless good friend,edinburgh
4.0,4.0,5.0,5.0,5.0,,5.0,3.0,3.0,4.0,Manisha,07 Dec 18,Physics BSc (Hons)," Good, but very stressful! The food at Pollack Halls is horrific and dirty I'm not 18, otherwise good Lots of choice, but I have no time to go to them",good stressful food pollack hall horrific dirty 'm otherwise good lot choice time go,good stressful food pollack hall horrific dirty good lot choice time,edinburgh
3.0,4.0,3.0,5.0,3.0,,5.0,,4.0,,Anon,07 Dec 18,Psychology BSc (Hons)," Traditional teaching style - out-dated, not innovative, poorly structured, courses are too short, counter productive teaching methods (5 week courses long break before exams for one piece of 100% coursework). Only lectures, no practical Not enough counselling available, wait-list too long, personal tutors don't meet you enough, don't even met minimum required sessions",traditional teaching style out-dated innovative poorly structure course short counter productive teaching method week course long break exam piece % coursework lecture practical enough counsel available wait-list long personal tutor n't meet enough n't even meet minimum required session,traditional teaching style out-dated innovative course short counter productive teaching method week course break exam piece % coursework practical available wait-list personal tutor minimum required session,edinburgh
4.0,4.0,3.0,5.0,2.0,,4.0,,5.0,4.0,thea Z,07 Dec 18,International Relations and International Law MA (Hons)," Overall- fun, educational Lots of job fairs and internships opportunities Great facilities Hard to access support services Good representation Walk able and feels like home Lots of range",overall- fun educational lot job fair internship opportunity great facility hard access support service good representation walk able feel home lot range,overall- fun educational lot job fair internship opportunity great facility hard access support service good representation walk able feel home lot range,edinburgh
4.0,4.0,3.0,4.0,3.0,,5.0,,5.0,5.0,Anon,07 Dec 18,Psychology BSc (Hons)," Loved uni, my course isn't the best organised though, experience overall is fab Always emailing - good! Not much info from my course though about this Not much personal support - only see personal tutor as mandatory check - doesn't know me Magic city",love uni course n't best organised experience overall fab always email good much info course much personal support see personal tutor mandatory check n't know magic city,uni course best organised experience overall fab always good much info course much personal support personal tutor mandatory check magic city,edinburgh
4.0,5.0,4.0,4.0,2.0,,4.0,,5.0,5.0,Mariana,07 Dec 18,Sustainable Development MA (Hons)," Good, I love my course and activities, but I feel like student well-being, and welfare is NOT a priority for the uni - it feels like a money-making venture Course is promising, careers service is helpful and accessible Overall good, but library is too small I feel lost a lot, website is poorly designed, always have to search a lot for myself for answers Student representation seems really strong, good advice centre Really amazing city with tons of good food",good love course activity feel student well-being welfare priority uni feel money-making venture course promising career service helpful accessible overall good library small feel lose lot poorly design always search lot answer student representation seem really strong good advice centre really amaze city ton good food,good course activity student well-being welfare priority uni money-making venture course promising career service helpful accessible overall good library small lot lot answer student representation strong good advice centre city ton good food,edinburgh
4.0,5.0,3.0,5.0,2.0,,5.0,4.0,4.0,4.0,M,07 Dec 18,Russian Studies and Politics MA (Hons)," I think the university is an amazing place but more student support would be good Really pretty Needs to be more accessible Really pretty and good events Really pretty, there has been bullying in the group chat Nightlife not so good Sports could be more inclusive",think university amazing place student support good really pretty need accessible really pretty good event really pretty bully group chat nightlife good sport inclusive,university amazing place student support good really accessible really good event group nightlife good sport inclusive,edinburgh
4.0,,3.0,4.0,4.0,,4.0,4.0,5.0,4.0,Harriet,07 Dec 18,French and Spanish MA (Hons)," GOOD At this point it is unclear although the careers service seems very good Very nice - love the library Seems good at the moment Really involved and approachable Kineaid's court, very nice, very central Awesome Salsa is awesome, and there are so many societies",good point unclear career service seem good nice love library seems good moment really involved approachable kineaid court nice central awesome salsa awesome many society,good point unclear career service good nice library seems good moment involved approachable kineaid court nice central awesome salsa awesome many society,edinburgh
4.0,5.0,4.0,4.0,5.0,,,,5.0,,Priyanka,07 Dec 18,," My overall experience has been good so far. The staff and students are very helpful. The job fair which had a wide range of companies was quite impressive Excellent facilities, wide range of books at the library, cafes and restrooms are in every building Beautiful city, friendly people, very scenic and all areas are mostly walk able",overall experience good far staff student helpful job fair wide range company quite impressive excellent facility wide range book library cafe restroom building beautiful city friendly people scenic area mostly walk able,overall experience good staff student helpful job fair wide range company impressive excellent facility wide range book library cafe restroom building beautiful city friendly people scenic area able,edinburgh
3.0,,4.0,2.0,5.0,,4.0,,5.0,5.0,Nicolas,07 Dec 18,Reproductive Biology BSc (Hons)," Careers info is a bit limited unless you know exactly what you want and then they help a lot Good @ centeral but I study @ kings and recently facilities have been moved so have less study space where we need it and no common microwaves or kettles, with limited essential books in the library Very good so far, tutors and lecturers are great @ helping wen you need it Quite good Very nice city Very diverse range of societies; but forcing people to get a gym membership to partake in sports puts me off casual sport",career info bit limited know exactly want help lot good @ centeral study @ king recently facility move less study space need common microwave kettle limited essential book library good far tutor lecturer great @ help wen need quite good nice city diverse range society force people get gym membership partake sport put casual sport,career bit limited lot good @ centeral @ king facility less study space common microwave kettle limited essential book library good tutor lecturer great @ wen good nice city diverse range society people gym membership sport put casual sport,edinburgh
5.0,4.0,4.0,5.0,4.0,,4.0,,5.0,5.0,Aimee,07 Dec 18,Medical Sciences BSc (Hons), Not enough space in the library Academic feedback is good. Wouldn't know where to look for personal feedback Good value for money Best city - smaller version of London/more accessible,enough space library academic feedback good n't know look personal feedback good value money best city small version london/more accessible,enough space library academic feedback good personal feedback good value money best city small version london/more accessible,edinburgh
5.0,5.0,5.0,4.0,4.0,,5.0,,5.0,5.0,Bettie,07 Dec 18,Veterinary Medicine BVMS, Great - fantastic - my room is pretty cold in Winter Vet students do pretty well for themselves Need more seats in library! Cheese! Only negative is all the bands go to play in Glasgow Great place to meet people,great fantastic room pretty cold winter vet student pretty well need seat library cheese negative band go play glasgow great place meet people,great fantastic room pretty cold winter vet student seat library cheese negative band glasgow great place people,edinburgh
5.0,3.0,4.0,4.0,4.0,,5.0,,5.0,5.0,Anonn,07 Dec 18,Geography BSc (Hons)," I love uni here, favourite city Good, lots of places to study Really good Lots to do although can be expensive Very good. Play for hockey club",love uni favourite city good lot place study really good lot expensive good play hockey club,favourite city good lot place good lot expensive good hockey club,edinburgh
4.0,3.0,3.0,4.0,1.0,,4.0,2.0,5.0,,Alex,07 Dec 18,History MA (Hons)," Not too much work, city life is good, some weeks better than others Apparently terrible at deadlines with mental health Mostly good, but too expensive Most things are broken, also it's always boiling. But it's cheap so...",much work city life good week good others apparently terrible deadline mental health mostly good expensive thing break also 's always boiling 's cheap,much work city life good week good others terrible deadline mental health good expensive thing boiling cheap,edinburgh
5.0,3.0,3.0,4.0,3.0,,4.0,,5.0,5.0,Callum,07 Dec 18,Geography BSc (Hons)," I LOVE EDINBURGH I do not know what I want to do with my life Accessible and good (I love the new period poverty stand) Never needed support so I cant say It is nice and friendly, coffee is average Edinburgh the best city in the world Very good",love edinburgh know want life accessible good love new period poverty stand never need support cant say nice friendly coffee average edinburgh best city world good,edinburgh life accessible good new period poverty stand support nice friendly coffee average edinburgh best city world good,edinburgh
4.0,3.0,3.0,4.0,3.0,,4.0,,5.0,3.0,Anna,07 Dec 18,Philosophy MA (Hons)," Love the city and the people, good social life and love how everything's close to the uni Beautiful and fun",love city people good social life love everything close uni beautiful fun,city people good social life everything close uni beautiful fun,edinburgh
4.0,3.0,2.0,4.0,4.0,,5.0,,4.0,4.0,Louis,07 Dec 18,Geography BSc (Hons)," Good student life however the city can be expensive and the course is not as good as expected Have to do it yourself, to find internships/ placements although help is provided from careers department. Not part of course Great study space, SU has brilliant spaces Lots to do but expensive",good student life however city expensive course good expect find internships/ placement help provide career department part course great study space su brilliant space lot expensive,good student life city expensive course good internships/ placement help career department part course great study space su brilliant space lot,edinburgh
3.0,4.0,2.0,4.0,1.0,,3.0,4.0,4.0,3.0,Sofia,07 Dec 18,Sociology and Politics MA (Hons)," Flatmates and the people I've met have been friendly, but I find a lack of support academically Transferable skills Very good; wish there were more Personal counselling and academic tutors Murano; clean and nice but wish I had more flatmates and mixed gendered",flatmate people 've meet friendly find lack support academically transferable skill good wish personal counselling academic tutor murano clean nice wish flatmate mixed gendered,flatmate people friendly lack support transferable skill good personal counselling academic tutor murano clean nice wish flatmate mixed,edinburgh
4.0,3.0,3.0,4.0,2.0,,4.0,,5.0,5.0,Hannah,07 Dec 18,, Don't know Sports are amazing,n't know sport amaze,sport,edinburgh
5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,5.0,James D,07 Dec 18,Veterinary Medicine BVMS," My 4 years of UoE have been great - fantastic teaching, wonderful facilities and a plethora of opportunities Very much easier to get employed Fantastic gym and library (but could do with more seats) Very accessible support bases Good, could do with cheaper drinks though The best city to live in Wonderful opportunities - badminton especially good",year uoe great fantastic teaching wonderful facility plethora opportunity much easy get employ fantastic gym library seat accessible support base good cheap drink best city live wonderful opportunity badminton especially good,year uoe great fantastic teaching wonderful facility plethora opportunity easy fantastic gym library seat accessible support base good cheap drink best city wonderful opportunity badminton good,edinburgh
4.0,3.0,5.0,4.0,2.0,,4.0,,5.0,4.0,Will,07 Dec 18,French and Russian Studies MA (Hons), Not sure Great Slow Fine Nice Good,sure great slow fine nice good,sure great slow fine nice good,edinburgh
1.0,3.0,2.0,4.0,3.0,,4.0,,5.0,5.0,Ewan,07 Dec 18,Chemistry BSc (Hons)," Having a crisis I don't know Pretty good, can't complain I don't know Great They're very good",crisis n't know pretty good n't complain n't know great 're good,crisis good great good,edinburgh
